variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0427,risk_candidate,216,0.8333333333333334,0.6503928170594837,0.9527303097366091,0.9983164983164983,0.9935064935064936,0.14285714285714285,0.8148148148148148,4,1.0,0.0,0.3333333333333333,0.08420362774640958,0.2095637560258749,0.3780803012290565,Random candidate from RC-SPE pooling family.,random_pool,0.9367140661823647
random_0428,risk_candidate,216,0.8472222222222222,0.6817861151194485,0.9529285860827078,0.9983164983164983,0.9935064935064936,0.2,0.8518518518518519,3,1.0,0.0,0.3333333333333333,0.07447769179642863,0.20155667591251833,0.36599604468186875,Random candidate from RC-SPE pooling family.,random_pool,0.8153989897834382
random_0429,risk_candidate,216,0.8796296296296297,0.7553150553150555,0.9542147066149741,0.9987974987974988,0.9675324675324676,0.7428571428571429,0.5555555555555556,2,1.0,0.0,0.3333333333333333,0.06739608330292646,0.17797435288730287,0.3529839205080461,Random candidate from RC-SPE pooling family.,random_pool,0.7385265666945822
random_0430,risk_candidate,216,0.16203703703703703,0.3333333333333333,0.9455946485881072,0.9997594997594997,0.0,1.0,0.0,0,0.0,1.0,0.3333333333333333,0.43767868146424344,0.6826251930880438,0.9903982247941471,Random candidate from RC-SPE pooling family.,random_pool,2.227453033062226
random_0431,risk_candidate,216,0.7824074074074074,0.48354978354978356,0.9515756255324256,0.9987974987974988,0.9935064935064936,0.45714285714285713,0.0,16,1.0,0.0,0.3333333333333333,0.23864007177836916,0.3326430925489717,0.6081321801038799,Random candidate from RC-SPE pooling family.,random_pool,2.0998013666033994
random_0432,risk_candidate,216,0.8472222222222222,0.7004329004329004,0.9342980000115125,1.0,0.987012987012987,0.11428571428571428,1.0,0,1.0,0.0,0.3333333333333333,0.13202490620927926,0.2472944854451288,0.48838111451783994,Random candidate from RC-SPE pooling family.,random_pool,0.9860272541866575
random_0433,risk_candidate,216,0.8425925925925926,0.6909090909090909,0.9284817323760889,0.9983164983164983,0.987012987012987,0.08571428571428572,1.0,0,1.0,0.0,0.3276836158192091,0.1371160776853066,0.24652645404707063,0.4951123997833846,Random candidate from RC-SPE pooling family.,random_pool,1.035009241691011
random_0434,risk_candidate,216,0.8564814814814815,0.6969055635722302,0.9540153433132613,0.9975949975949976,0.987012987012987,0.4,0.7037037037037037,5,1.0,0.0,0.3333333333333333,0.04363737190669854,0.1969080643482292,0.35368711893013177,Random candidate from RC-SPE pooling family.,random_pool,0.6534485488734886
random_0435,risk_candidate,216,0.8796296296296297,0.7897867564534232,0.9507815770191702,0.9956709956709957,0.9545454545454546,0.6,0.8148148148148148,0,1.0,0.0,0.3450224040522112,0.0768326939610385,0.1743788860910436,0.3390386995336246,Random candidate from RC-SPE pooling family.,random_pool,0.6871970255395605
random_0436,risk_candidate,216,0.7453703703703703,0.4197530864197531,0.9449542589064603,0.993025493025493,1.0,0.0,0.25925925925925924,20,1.0,0.0,0.3333333333333333,0.17291359449152374,0.3313080858051375,0.6203135624676603,Random candidate from RC-SPE pooling family.,random_pool,1.3658964464310939
